Facility ID,Hospital Name,Detailed Region,Region,Procedure,Year of Hospital Discharge,Number of Cases,Number of Deaths,Observed Mortality Rate,Expected Mortality Rate,Risk-Adjusted Mortality Rate,Lower Limit of Confidence Interval,Upper Limit of Confidence Interval,Comparison Results
0001,Albany Medical Center,Capital District,Capital District,All PCI,2010,1191,13,1.09,0.61,1.51,0.80,2.58,Rate not different than Statewide Rate
0116,Arnot Ogden Med Ctr,Western NY - Rochester,Western NY - Rochester,All PCI,2010,469,1,0.21,0.83,0.22,0.00,1.20,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,All PCI,2010,448,4,0.89,0.89,0.84,0.23,2.16,Rate not different than Statewide Rate
1439,Beth Israel Med Ctr,Manhattan,NY Metro - NYC,All PCI,2010,1762,11,0.62,0.70,0.75,0.38,1.35,Rate not different than Statewide Rate
1178,Bronx-Lebanon-Cncourse,Bronx,NY Metro - NYC,All PCI,2010,65,4,6.15,2.41,2.15,0.58,5.50,Rate not different than Statewide Rate
1286,Brookdale Hosp Med Ctr,Kings,NY Metro - NYC,All PCI,2010,338,9,2.66,1.36,1.65,0.75,3.13,Rate not different than Statewide Rate
0207,Buffalo General Hosp,Western NY - Buffalo,Western NY - Buffalo,All PCI,2010,1334,11,0.82,0.67,1.03,0.51,1.85,Rate not different than Statewide Rate
0977,Cayuga Med Ctr Ithaca,Central NY,Central NY,All PCI,2010,19,0,0.00,1.20,0.00,0.00,13.54,Rate not different than Statewide Rate
0135,Champ.Valley Phys Hosp,Capital District,Capital District,All PCI,2010,618,4,0.65,1.22,0.44,0.12,1.14,Rate not different than Statewide Rate
0636,Crouse Hospital,Central NY,Central NY,All PCI,2010,385,3,0.78,0.80,0.81,0.16,2.38,Rate not different than Statewide Rate
0829,Ellis Hospital,Capital District,Capital District,All PCI,2010,525,4,0.76,1.01,0.64,0.17,1.63,Rate not different than Statewide Rate
1626,Elmhurst Hospital Ctr,Queens,NY Metro - NYC,All PCI,2010,405,3,0.74,0.89,0.70,0.14,2.03,Rate not different than Statewide Rate
0210,Erie County Med Ctr,Western NY - Buffalo,Western NY - Buffalo,All PCI,2010,139,1,0.72,1.77,0.34,0.00,1.90,Rate not different than Statewide Rate
