Facility Id,Hospital Name,Indicator Name,Year,Infections observed,Infections predicted,Denominator,Indicator value,Indicator Lower confidence limit,Indicator Upper confidence limit,Indicator units,Comparison results,Location 1
0,New York State - All Hospitals,CLABSI Cardiothoracic ICU,2008,105,,73679,1.43,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Coronary ICU,2008,124,,52482,2.36,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Medical ICU,2008,237,,87785,2.7,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Medical Surgical ICU,2008,456,,220542,2.07,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neonatal ICU Level 2/3,2008,50,,10386,4.81,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neonatal ICU Level 3,2008,33,,16892,1.95,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neonatal ICU Regional Perinatal Center,2008,174,,60670,2.87,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neurosurgical ICU,2008,40,,17577,2.28,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Overall Standardized Infection Ratio,2008,1072,,,1,,,,,
0,New York State - All Hospitals,CLABSI Pediatric ICU,2008,99,,29698,3.33,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Surgical ICU,2008,210,,75544,2.78,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,SSI CABG chest site,2008,301,,13967,2.16,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI CABG donor site,2008,128,,12905,0.99,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI Colon,2008,804,,18135,4.43,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI Hip,2008,273,,24357,1.12,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI Overall Standardized Infection Ratio,2008,1506,,,1,,,,,
0,New York State - All Hospitals,CLABSI Cardiothoracic ICU,2009,93,,75195,1.24,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Coronary ICU,2009,98,,51845,1.89,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Medical ICU,2009,228,,98917,2.3,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Medical Surgical ICU,2009,376,,200634,1.87,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neonatal ICU Level 2/3,2009,38,,10122,3.75,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neonatal ICU Level 3,2009,60,,17801,3.37,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neonatal ICU Regional Perinatal Center,2009,134,,66152,2.03,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neurosurgical ICU,2009,40,,18798,2.13,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Overall Standardized Infection Ratio,2009,925,,,1,,,,,
0,New York State - All Hospitals,CLABSI Pediatric ICU,2009,69,,30738,2.24,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Surgical ICU,2009,165,,77169,2.14,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,SSI CABG chest site,2009,304,,13438,2.26,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI CABG donor site,2009,109,,12416,0.88,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI Colon,2009,848,,17439,4.86,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI Hip,2009,295,,25847,1.14,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI Overall Standardized Infection Ratio,2009,1556,,,1,,,,,
0,New York State - All Hospitals,CDI Community Onset Not-My-Hospital,2010,6135,,2319736,0.26,,,"# community onset not-my-hospital cases per 100 admissions, not risk-adjusted",,
0,New York State - All Hospitals,CDI Hospital Onset,2010,10186,,8122957,12.54,,,"# hospital onset cases per 10,000 patient days at risk, risk-adjusted",,
0,New York State - All Hospitals,CDI Possibly-My-Hospital Associated,2010,3067,,12290750,2.5,,,"# possibly-my-hospital cases per 10,000 patient days, not risk-adjusted",,
0,New York State - All Hospitals,CLABSI Cardiothoracic ICU,2010,74,,74555,0.99,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Coronary ICU,2010,94,,51459,1.83,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Medical ICU,2010,198,,102097,1.94,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Medical Surgical ICU,2010,249,,184007,1.35,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neonatal ICU Level 2/3,2010,28,,7423,3.77,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neonatal ICU Level 3,2010,50,,19916,2.51,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neonatal ICU Regional Perinatal Center,2010,110,,65614,1.68,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neurosurgical ICU,2010,39,,18577,2.1,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Overall Standardized Infection Ratio,2010,776,,,1,,,,,
0,New York State - All Hospitals,CLABSI Pediatric ICU,2010,62,,30001,2.07,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Surgical ICU,2010,121,,80350,1.51,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,SSI CABG chest site,2010,275,,12409,2.22,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI CABG donor site,2010,92,,11429,0.8,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI Colon,2010,803,,16884,4.76,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI Hip,2010,290,,26290,1.1,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI Overall Standardized Infection Ratio,2010,1460,,,1,,,,,
0,New York State - All Hospitals,CDI Community Onset Not-My-Hospital,2011,6851,,2306989,0.3,,,"# community onset not-my-hospital cases per 100 admissions, not risk-adjusted",,
0,New York State - All Hospitals,CDI Hospital Onset,2011,10388,,8095039,12.83,,,"# hospital onset cases per 10,000 patient days at risk, risk-adjusted",,
0,New York State - All Hospitals,CDI Possibly-My-Hospital Associated,2011,2943,,12243421,2.4,,,"# possibly-my-hospital cases per 10,000 patient days, not risk-adjusted",,
0,New York State - All Hospitals,CLABSI Cardiothoracic ICU,2011,67,,73359,0.91,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Coronary ICU,2011,73,,51391,1.42,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Medical ICU,2011,166,,110910,1.5,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Medical Surgical ICU,2011,224,,174786,1.28,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neonatal ICU Level 2/3,2011,31,,7091,4.37,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neonatal ICU Level 3,2011,42,,17973,2.34,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neonatal ICU Regional Perinatal Center,2011,111,,61965,1.79,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neurosurgical ICU,2011,26,,19847,1.31,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Overall Standardized Infection Ratio,2011,698,,,1,,,,,
0,New York State - All Hospitals,CLABSI Pediatric ICU,2011,68,,31630,2.15,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Surgical ICU,2011,114,,81917,1.39,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,SSI CABG chest site,2011,221,,11525,1.92,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI CABG donor site,2011,66,,10364,0.64,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI Colon,2011,804,,16230,4.95,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI Hip,2011,316,,27300,1.16,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI Overall Standardized Infection Ratio,2011,1407,,,1,,,,,
0,New York State - All Hospitals,CDI Community Onset Not-My-Hospital,2012,7136,,2248409,0.32,,,"# community onset not-my-hospital cases per 100 admissions, not risk-adjusted",,
98,Brooks Memorial Hospital,SSI Colon,2009,,,,,,,"# SSI per 100 procedures, risk-adjusted","Not compared, less than 20 procedures","(42.480775, -79.333874)"
0,New York State - All Hospitals,CDI Hospital Onset,2012,9902,,7917287,12.51,,,"# hospital onset cases per 10,000 patient days at risk, risk-adjusted",,
0,New York State - All Hospitals,CDI Possibly-My-Hospital Associated,2012,3061,,11962739,2.56,,,"# possibly-my-hospital cases per 10,000 patient days, not risk-adjusted",,
0,New York State - All Hospitals,CLABSI Cardiothoracic ICU,2012,67,,75757,0.88,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Coronary ICU,2012,62,,48907,1.27,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Medical ICU,2012,129,,107211,1.2,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Medical Surgical ICU,2012,156,,160282,0.97,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neonatal ICU Level 2/3,2012,20,,6278,3.19,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neonatal ICU Level 3,2012,43,,16835,2.55,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neonatal ICU Regional Perinatal Center,2012,73,,57248,1.28,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neurosurgical ICU,2012,27,,19284,1.4,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Overall Standardized Infection Ratio,2012,569,,,1,,,,,
0,New York State - All Hospitals,CLABSI Pediatric ICU,2012,59,,30593,1.93,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Surgical ICU,2012,89,,79111,1.13,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,SSI CABG chest site,2012,218,,10728,2.03,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI CABG donor site,2012,52,,9659,0.54,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI Colon,2012,763,,16339,4.67,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI Hip,2012,310,,28424,1.09,,,"# SSI per 100 procedures, risk-adjusted",,
