"Provider.ID","Hospital.Name","Address","City","State","ZIP.Code","County.Name","Phone.Number","HCAHPS.Measure.ID","HCAHPS.Question","HCAHPS.Answer.Description","Patient.Survey.Star.Rating","Patient.Survey.Star.Rating.Footnote","HCAHPS.Answer.Percent","HCAHPS.Answer.Percent.Footnote","HCAHPS.Linear.Mean.Value","Number.of.Completed.Surveys","Number.of.Completed.Surveys.Footnote","Survey.Response.Rate.Percent","Survey.Response.Rate.Percent.Footnote","Measure.Start.Date","Measure.End.Date"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_STAR_RATING","Summary star rating","Summary star rating","2","","Not Applicable","","Not Applicable","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_CLEAN_HSP_A_P","Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean","Not Applicable","","60","","Not Applicable","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_CLEAN_HSP_SN_P","Patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean","Room was ""sometimes"" or ""never"" clean","Not Applicable","","14","","Not Applicable","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_CLEAN_HSP_U_P","Patients who reported that their room and bathroom were ""Usually"" clean","Room was ""usually"" clean","Not Applicable","","26","","Not Applicable","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_CLEAN_LINEAR_SCORE","Cleanliness - linear mean score","Cleanliness - linear mean score","Not Applicable","","Not Applicable","","81","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_CLEAN_STAR_RATING","Cleanliness - star rating","Cleanliness - star rating","2","","Not Applicable","","Not Applicable","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_COMP_1_A_P","Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well","Not Applicable","","74","","Not Applicable","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_COMP_1_LINEAR_SCORE","Nurse communication - linear mean score","Nurse communication - linear mean score","Not Applicable","","Not Applicable","","89","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_COMP_1_SN_P","Patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well","Nurses ""sometimes"" or ""never"" communicated well","Not Applicable","","7","","Not Applicable","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_COMP_1_STAR_RATING","Nurse communication - star rating","Nurse communication - star rating","2","","Not Applicable","","Not Applicable","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_COMP_1_U_P","Patients who reported that their nurses ""Usually"" communicated well","Nurses ""usually"" communicated well","Not Applicable","","19","","Not Applicable","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_COMP_2_A_P","Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well","Not Applicable","","75","","Not Applicable","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_COMP_2_LINEAR_SCORE","Doctor communication - linear mean score","Doctor communication - linear mean score","Not Applicable","","Not Applicable","","89","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_COMP_2_SN_P","Patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well","Doctors ""sometimes"" or ""never"" communicated well","Not Applicable","","7","","Not Applicable","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_COMP_2_STAR_RATING","Doctor communication - star rating","Doctor communication - star rating","2","","Not Applicable","","Not Applicable","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_COMP_2_U_P","Patients who reported that their doctors ""Usually"" communicated well","Doctors ""usually"" communicated well","Not Applicable","","18","","Not Applicable","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_COMP_3_A_P","Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""always"" received help as soon as they wanted","Not Applicable","","58","","Not Applicable","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_COMP_3_LINEAR_SCORE","Staff responsiveness - linear mean score","Staff responsiveness - linear mean score","Not Applicable","","Not Applicable","","80","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_COMP_3_SN_P","Patients who reported that they ""Sometimes"" or ""Never"" received help as soon as they wanted","Patients ""sometimes"" or ""never"" received help as soon as they wanted","Not Applicable","","15","","Not Applicable","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_COMP_3_STAR_RATING","Staff responsiveness - star rating","Staff responsiveness - star rating","2","","Not Applicable","","Not Applicable","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_COMP_3_U_P","Patients who reported that they ""Usually"" received help as soon as they wanted","Patients ""usually"" received help as soon as they wanted","Not Applicable","","27","","Not Applicable","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_COMP_4_A_P","Patients who reported that their pain was ""Always"" well controlled","Pain was ""always"" well controlled","Not Applicable","","69","","Not Applicable","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_COMP_4_LINEAR_SCORE","Pain management - linear mean score","Pain management - linear mean score","Not Applicable","","Not Applicable","","86","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_COMP_4_SN_P","Patients who reported that their pain was ""Sometimes"" or ""Never"" well controlled","Pain was ""sometimes"" or ""never"" well controlled","Not Applicable","","9","","Not Applicable","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_COMP_4_STAR_RATING","Pain management - star rating","Pain management - star rating","3","","Not Applicable","","Not Applicable","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_COMP_4_U_P","Patients who reported that their pain was ""Usually"" well controlled","Pain was ""usually"" well controlled","Not Applicable","","22","","Not Applicable","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_COMP_5_A_P","Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained","Not Applicable","","57","","Not Applicable","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_COMP_5_LINEAR_SCORE","Communication about medicines - linear mean score","Communication about medicines - linear mean score","Not Applicable","","Not Applicable","","73","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_COMP_5_SN_P","Patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them","Staff ""sometimes"" or ""never"" explained","Not Applicable","","24","","Not Applicable","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_COMP_5_STAR_RATING","Communication about medicines - star rating","Communication about medicines - star rating","2","","Not Applicable","","Not Applicable","1129","","30","","04/01/2014","03/31/2015"
330003,"ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY",12204,"ALBANY",5184713221,"H_COMP_5_U_P","Patients who reported that staff ""Usually"" explained about medicines before giving it to them","Staff ""usually"" explained","Not Applicable","","19","","Not Applicable","1129","","30","","04/01/2014","03/31/2015"
